equipment_id,equipment_type,location,usage_hours,temperature,vibration,health_score,failure
MRI-001,MRI,Radiology,1200,72,0.4,0.92,0
MRI-002,MRI,Radiology,1450,75,0.5,0.88,0
CT-001,CT_Scanner,Imaging,980,68,0.35,0.94,0
CT-002,CT_Scanner,Imaging,1300,70,0.45,0.89,0
XRAY-001,X-Ray,Emergency,770,65,0.25,0.97,0
XRAY-002,X-Ray,Emergency,1100,67,0.3,0.93,0
ULTRA-001,Ultrasound,Cardiology,540,63,0.2,0.98,0
ULTRA-002,Ultrasound,OBGYN,680,64,0.22,0.96,0
VENT-001,Ventilator,ICU,2100,55,0.18,0.84,1
VENT-002,Ventilator,ICU,1800,56,0.2,0.87,0
ECG-001,ECG,Cardiology,900,60,0.15,0.95,0
ECG-002,ECG,Cardiology,1020,61,0.16,0.93,0
DEFIB-001,Defibrillator,Emergency,400,58,0.12,0.99,0
DEFIB-002,Defibrillator,Emergency,620,59,0.14,0.96,0
ANES-001,Anesthesia,OperatingRoom,1600,54,0.28,0.90,0
ANES-002,Anesthesia,OperatingRoom,1900,57,0.32,0.86,1
LAB-001,Lab_Analyzer,Pathology,1320,62,0.21,0.91,0
LAB-002,Lab_Analyzer,Pathology,1455,63,0.23,0.88,0
INFUS-001,InfusionPump,Ward,780,59,0.13,0.97,0
INFUS-002,InfusionPump,Ward,1050,60,0.15,0.94,0
